"cov","mu","sd","PopulationName"
"pndvi",0.4508195868125,0.0438946492343103,"McCutcheon_dwn"
"pndvi",0.5904315038125,0.041068089194289,"McCutcheon_up"
"pndvi",0.48802890584375,0.0482953341199815,"McDermitt_dwn&Sage_dwn"
"pndvi",0.48598303984375,0.0559154443136101,"McDermitt_NF&McD_up"
"pndvi",0.3369932863125,0.0501275993599713,"McDermittReconnect"
"pndvi",0.35317414303125,0.0488484738106137,"Mitchell&Mitchell_NF"
"pndvi",0.46519682503125,0.0401735532058859,"MohawkCanyon"
"pndvi",0.54479993746875,0.0602330369260961,"MRBC_up"
"pndvi",0.41609905996875,0.0585541744960761,"Mullinex"
"pndvi",0.2739559973125,0.0314131335673711,"Paiute"
"pndvi",0.41937389265625,0.0411358793354293,"Pearl"
"pndvi",0.47477489709375,0.0350869127529778,"PeteHanson"
"pndvi",0.35948016646875,0.04879606020873,"Pie&Dorsey_low&Gance_low"
"pndvi",0.35657324828125,0.041700176864,"Pole_QRD"
"pndvi",0.515771989875,0.0436695104943103,"Pratt"
"pndvi",0.52608894775,0.105262883008006,"PrattReconnect"
"pndvi",0.61552611484375,0.047212623940303,"Rabbit"
"pndvi",0.660448366625,0.0348729047239147,"Rattlesnake_SFHRD"
"pndvi",0.45494441478125,0.049997076817528,"Rebel"
"pndvi",0.3799501191875,0.0356031802642536,"RedMtn"
"pndvi",0.445377804625,0.0391891493228303,"Reese&Sawmills"
"pndvi",0.37115779515625,0.0377368124558722,"ReeseReconnect"
"pndvi",0.291827195,0.0502087608949272,"Riser"
"pndvi",0.252225147515625,0.0335472046124448,"Rock_CrumCanyon"
"pndvi",0.2959128123125,0.0412535529421301,"Rock_dwn_QRD"
"pndvi",0.3212377705625,0.0320854240568426,"Rock_EdnaMtn"
"pndvi",0.391764296078125,0.0467924125553302,"Rock_RCD"
"pndvi",0.27751640215625,0.0473249061180463,"RockTJReconnect"
"pndvi",0.3028421748125,0.034538558753605,"Rodeo"
"pndvi",0.41472432578125,0.0492063813456468,"Sage_up_QRD"
"pndvi",0.46831159509375,0.0445013312904607,"SanJuan&SanJuan_SF"
"pndvi",0.42780173934375,0.044668129682551,"SFLH_Pole_Snowstorm"
"pndvi",0.2856272588125,0.0329690618185232,"Sherman"
"pndvi",0.266566546,0.0328671529155313,"Sherman_EF"
"pndvi",0.26404170125,0.0323454112208789,"ShermanReconnect"
"pndvi",0.3258944998125,0.0364036990912776,"Silver_NF"
"pndvi",0.3766714215,0.0425396834640084,"Singas"
"pndvi",0.5224407883125,0.0526211981025551,"Smith_Main_NF_MF_SF"
"pndvi",0.4254242806875,0.0306730960151149,"SmithGenReconnect"
"pndvi",0.33736689959375,0.0388375905160526,"Snow&Chicken&Leonard"
"pndvi",0.3451982999375,0.0350594249158872,"Sonoma"
"pndvi",0.36860432271875,0.0378056217284241,"Star"
"pndvi",0.42738973984375,0.0466524262991927,"Stephens"
"pndvi",0.45931320328125,0.0346187824630655,"Stewart&Stewart_NF&MF"
"pndvi",0.3864202725,0.0329060951913991,"StoneHouse"
"pndvi",0.39042567571875,0.0484509240871864,"Susie"
"pndvi",0.5322779746875,0.0520046220128663,"T_Creek&Draw"
"pndvi",0.42417013584375,0.0562616981449216,"Tabor"
"pndvi",0.68055527159375,0.0450838849792236,"Talbot_up"
"pndvi",0.5351344506875,0.0400871651512655,"Thorpe_LamValley"
"pndvi",0.3431683455,0.0340944768376375,"Threemile"
"pndvi",0.444490405109375,0.0339148286557861,"Tierney"
"pndvi",0.316263765453125,0.0441472036079872,"ToeJam"
"pndvi",0.44108191440625,0.0485138117943026,"Toyn"
"pndvi",0.46139569953125,0.0350011585829789,"Trout_EastHumboldt"
"pndvi",0.56590324884375,0.0400464260856309,"Trout_EastHumboldt_up"
"pndvi",0.2281652599375,0.0303019723409754,"Washburn_dwn"
"pndvi",0.37421141246875,0.0492199503832125,"Washburn_up"
"pndvi",0.4613050884375,0.039853510673546,"Washington"
"pndvi",0.39760142775,0.0411852642499137,"WashONeal"
"pndvi",0.38230801234375,0.0445535488697276,"Whitehorse_OR"
"pndvi",0.42282249290625,0.0544954543772464,"Whitehorse_OR_E_up"
"pndvi",0.396072023125,0.053601977873451,"Whitehorse_OR_W_up"
"pndvi",0.4029366435625,0.0685264014364201,"Wildcat"
"pndvi",0.32844352284375,0.0451195918666631,"Willow&Lewis&Nelson"
